major,percent
International Studies,1.1
Ed Studies - Secondary,1.1
Spanish,1.1
Integrated International Studies,1.1
Studio Art,1.1
Physics,1.1
History,2.2
English Literature,2.2
Self-Designed Major,2.2
Theatre,3.3
Ed Studies - Elementary,3.3
Music,3.3
Asian Studies,3.3
Environmental Studies,3.3
Biochemistry,3.3
Computer Science,3.3
Creative writing,4.4
Psychology,4.4
International Relations,4.4
Neuroscience,5.5
Anthropology & Sociology,5.5
Chemistry,5.5
Political Science,6.6
Economics,11
Biology,16.5
