major,percent
Philosophy,0.6
Gender & Women's Studies,0.6
German,0.6
Ed Studies - Content Area,0.6
Mod Lang - French,0.6
Computer Science,1.2
Environmental Studies,1.2
Neuroscience,1.2
Physics,1.2
Integrated International Studies,1.2
Art History,1.2
Theatre,1.8
Music,1.8
Studio Art,1.8
Biochemistry,1.8
English Literature,3
History,3
Self-Designed Major,3
Ed Studies - Secondary,3.6
Chemistry,3.6
Economics,4.7
Political Science,5.3
International Relations,5.3
Biology,7.1
Psychology,7.7
Anthropology & Sociology,8.3
Creative writing,8.9
Ed Studies - Elementary,8.9
Spanish,10.7
