major,percent
Philosophy,0.5
Gender & Women's Studies,0.5
Mod Lang - French,0.5
Ed Studies - Elementary,0.5
Spanish,0.5
Music,1
English Literature,1
Asian Studies,1.6
Neuroscience,1.6
Financial Mathematics,2.1
Integrated International Studies,2.1
Self-Designed Major,2.1
Political Science,2.1
Anthropology & Sociology,2.1
Creative writing,2.1
Mathematics,2.6
Environmental Studies,2.6
Biochemistry,3.1
Studio Art,3.7
Biology,4.7
Physics,5.2
Psychology,5.8
Chemistry,6.3
International Relations,7.3
Computer Science,7.9
Economics,30.4
